latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
0.22621,30.24996,304,1.36,1.15,2025-02-24,0043,A,58,6.1NRT,287.79,11.16,N
-12.10107,-51.23683,304,1.15,1.07,2025-02-24,0111,T,57,6.1NRT,292.59,4.59,N
-11.36694,-49.61476,316.89,1.47,1.2,2025-02-24,0111,T,94,6.1NRT,290.79,23.45,N
-6.57231,-51.10875,303.72,1.38,1.16,2025-02-24,0111,T,57,6.1NRT,272.27,13.38,N
5.50493,-65.93357,304.4,3.47,1.75,2025-02-24,0117,T,60,6.1NRT,292.58,22.22,N
6.72774,-63.72763,307.69,2.19,1.43,2025-02-24,0117,T,72,6.1NRT,292.48,21.9,N
6.73163,-63.71521,306.23,2.18,1.43,2025-02-24,0117,T,67,6.1NRT,292.4,17.46,N
6.57011,-67.67783,305.17,4.57,1.96,2025-02-24,0117,T,61,6.1NRT,292.49,31.04,N
6.59349,-67.64132,305.61,4.54,1.96,2025-02-24,0117,T,63,6.1NRT,292.51,33.16,N
6.59619,-67.64686,304.81,4.54,1.96,2025-02-24,0117,T,60,6.1NRT,292.5,30.26,N
7.45273,-65.08198,303.55,2.73,1.58,2025-02-24,0117,T,51,6.1NRT,293.22,13.7,N
7.4445,-65.0872,307.3,2.73,1.58,2025-02-24,0117,T,68,6.1NRT,293.06,24.13,N
7.91633,-62.63408,302.38,1.71,1.28,2025-02-24,0117,T,49,6.1NRT,292.38,6.98,N
7.88021,-63.40731,311.21,1.96,1.37,2025-02-24,0117,T,81,6.1NRT,293.58,20.55,N
7.89217,-63.4093,310.77,1.96,1.37,2025-02-24,0117,T,80,6.1NRT,293.38,19.84,N
7.88793,-63.39753,306.87,1.96,1.37,2025-02-24,0117,T,68,6.1NRT,293.29,14.05,N
7.88519,-63.4147,315.67,1.96,1.37,2025-02-24,0117,T,91,6.1NRT,293.5,30.67,N
8.53381,-63.34645,305.73,1.89,1.34,2025-02-24,0117,T,63,6.1NRT,293.26,11.09,N
8.54299,-63.33671,306.85,1.89,1.34,2025-02-24,0117,T,32,6.1NRT,293.25,10.9,N
8.24226,-65.44446,315.65,2.82,1.6,2025-02-24,0117,T,86,6.1NRT,287.55,71.33,N
8.5516,-63.66976,305.5,2,1.38,2025-02-24,0117,T,26,6.1NRT,293.15,10.9,N
8.54885,-63.6874,309.55,2.01,1.38,2025-02-24,0117,T,77,6.1NRT,293.27,18.33,N
8.72538,-62.91655,304.42,1.74,1.29,2025-02-24,0117,T,59,6.1NRT,293.61,8.69,N
8.68875,-63.1503,308.62,1.81,1.32,2025-02-24,0117,T,75,6.1NRT,293.63,15.57,N
8.68625,-63.16622,305.96,1.82,1.32,2025-02-24,0117,T,66,6.1NRT,293.56,11.42,N
8.55944,-64.12728,305.11,2.18,1.43,2025-02-24,0117,T,62,6.1NRT,293.36,12.98,N
8.55643,-64.14636,306.2,2.19,1.43,2025-02-24,0117,T,66,6.1NRT,293.24,15.09,N
8.87324,-63.22434,307.76,1.82,1.32,2025-02-24,0117,T,29,6.1NRT,293.17,14.63,N
8.87073,-63.24037,312.59,1.83,1.32,2025-02-24,0117,T,75,6.1NRT,293.24,23.33,N
8.88483,-63.22617,310.94,1.82,1.32,2025-02-24,0117,T,77,6.1NRT,293.19,19.14,N
8.89888,-63.21207,313.14,1.82,1.32,2025-02-24,0117,T,76,6.1NRT,293.07,21.98,N
8.89642,-63.22803,323.47,1.82,1.32,2025-02-24,0117,T,100,6.1NRT,293.49,45.37,N
8.53811,-67.82815,303.9,4.31,1.92,2025-02-24,0117,T,50,6.1NRT,289.89,42.72,N
8.52613,-67.83077,303.06,4.31,1.92,2025-02-24,0117,T,39,6.1NRT,290.52,39,N
9.22857,-64.29694,304.29,2.19,1.43,2025-02-24,0117,T,58,6.1NRT,293.31,11.48,N
9.22945,-64.30346,306.7,2.19,1.43,2025-02-24,0117,T,68,6.1NRT,293.34,16.36,N
8.79473,-68.24728,302.91,4.61,1.97,2025-02-24,0117,T,50,6.1NRT,290.42,34.39,N
9.38775,-64.54313,303.38,2.27,1.46,2025-02-24,0117,T,32,6.1NRT,292.56,11.03,N
9.55842,-63.63432,305.41,1.91,1.35,2025-02-24,0117,T,63,6.1NRT,292.79,13.13,N
8.79699,-68.25446,301.75,4.61,1.97,2025-02-24,0117,T,44,6.1NRT,290.33,30.96,N
9.63952,-63.55129,319.78,1.87,1.34,2025-02-24,0117,T,99,6.1NRT,293.33,38.58,N
9.63689,-63.5678,335.42,1.88,1.34,2025-02-24,0117,T,100,6.1NRT,293.46,86.45,N
9.65647,-63.52016,304.24,1.86,1.33,2025-02-24,0117,T,54,6.1NRT,293.25,9.18,N
9.65388,-63.53651,324.54,1.87,1.34,2025-02-24,0117,T,100,6.1NRT,293.82,50.75,N
9.65128,-63.55295,320.98,1.87,1.34,2025-02-24,0117,T,100,6.1NRT,293.25,40.93,N
9.64866,-63.56948,350.12,1.88,1.34,2025-02-24,0117,T,100,6.1NRT,293.89,152.34,N
9.64604,-63.58606,311.51,1.89,1.34,2025-02-24,0117,T,82,6.1NRT,293.12,21.6,N
9.62484,-63.71966,335.66,1.93,1.36,2025-02-24,0117,T,100,6.1NRT,293.39,91.61,N
9.62214,-63.73666,329.39,1.94,1.36,2025-02-24,0117,T,100,6.1NRT,293,69.7,N
9.65257,-63.62114,329.91,1.9,1.35,2025-02-24,0117,T,100,6.1NRT,293.51,68.48,N
9.64991,-63.63799,323.06,1.9,1.35,2025-02-24,0117,T,100,6.1NRT,293.07,48.5,N
9.73398,-63.48311,304.04,1.85,1.33,2025-02-24,0117,T,35,6.1NRT,292.97,8.45,N
9.73249,-63.47252,307.17,1.84,1.33,2025-02-24,0117,T,70,6.1NRT,293.24,13.92,N
9.97454,-63.18512,305.56,1.73,1.29,2025-02-24,0117,T,65,6.1NRT,292.75,12.18,N
10.05984,-64.86417,308.21,2.34,1.48,2025-02-24,0117,T,49,6.1NRT,292.04,22.54,N
10.05658,-64.88483,308.36,2.35,1.48,2025-02-24,0117,T,69,6.1NRT,291.84,22.68,N
10.05798,-64.87051,308.08,2.34,1.48,2025-02-24,0117,T,68,6.1NRT,292.02,22.27,N
10.05457,-64.89108,308.03,2.35,1.48,2025-02-24,0117,T,65,6.1NRT,291.75,21.92,N
-13.79,-76.16808,303.22,1.08,1.04,2025-02-24,0249,T,54,6.1NRT,290.88,4.98,N
-43.06561,-71.08138,319.48,1.01,1,2025-02-24,0242,T,81,6.1NRT,285.77,20.95,N
-43.05508,-71.07141,317.28,1.01,1,2025-02-24,0242,T,44,6.1NRT,284.25,18.12,N
-43.05669,-71.08356,328.46,1.01,1,2025-02-24,0242,T,96,6.1NRT,284.52,29.75,N
-43.02831,-71.21704,303.86,1.01,1.01,2025-02-24,0242,T,57,6.1NRT,285.37,8.61,N
-43.02987,-71.22894,304.29,1.01,1.01,2025-02-24,0242,T,59,6.1NRT,282.57,8.92,N
-42.98328,-71.57747,304.43,1.02,1.01,2025-02-24,0242,T,34,6.1NRT,287.75,8.44,N
-42.98485,-71.58972,355.63,1.03,1.01,2025-02-24,0242,T,100,6.1NRT,292.98,80.31,N
-42.97431,-71.57974,324.62,1.02,1.01,2025-02-24,0242,T,100,6.1NRT,287.11,25.06,N
-42.97588,-71.59199,323.01,1.03,1.01,2025-02-24,0242,T,100,6.1NRT,286.56,22.88,N
-42.95189,-71.61639,306.32,1.03,1.01,2025-02-24,0242,T,43,6.1NRT,285.39,9.65,N
-42.94292,-71.6187,304.33,1.03,1.01,2025-02-24,0242,T,25,6.1NRT,284.84,8.3,N
-42.91597,-71.6252,307.94,1.03,1.01,2025-02-24,0242,T,72,6.1NRT,283.81,10.69,N
-42.91751,-71.6372,328.11,1.03,1.01,2025-02-24,0242,T,100,6.1NRT,283.34,30.72,N
-42.90701,-71.62748,302.8,1.03,1.01,2025-02-24,0242,T,37,6.1NRT,283,7.49,N
-42.90855,-71.63957,317.85,1.03,1.01,2025-02-24,0242,T,91,6.1NRT,281.96,19.68,N
-39.11261,-66.35857,302.65,1.45,1.19,2025-02-24,0242,T,48,6.1NRT,292.49,6.82,N
-36.83716,-71.55647,304.61,1.01,1,2025-02-24,0245,T,61,6.1NRT,287.78,7.99,N
-34.11112,-70.45978,303.57,1.12,1.06,2025-02-24,0245,T,52,6.1NRT,288.74,7.84,N
-34.10188,-70.46237,304.64,1.12,1.06,2025-02-24,0245,T,61,6.1NRT,287.12,8.94,N
-32.80785,-70.95396,303.34,1.11,1.05,2025-02-24,0245,T,47,6.1NRT,291.19,6.65,N
-32.80117,-70.94913,305,1.11,1.05,2025-02-24,0245,T,63,6.1NRT,290.77,8.76,N
31.13974,118.16841,300.89,1,1,2025-02-24,0156,T,43,6.1NRT,282.68,6.49,D
30.33141,116.22321,301.67,1.1,1.05,2025-02-24,0156,T,48,6.1NRT,281.22,7.84,D
24.29442,113.70415,304.61,1.24,1.11,2025-02-24,0158,T,59,6.1NRT,287.31,9.15,D
24.20894,113.75278,300.09,1.24,1.1,2025-02-24,0158,T,27,6.1NRT,285.83,5.18,D
24.20565,113.75841,300.03,1.23,1.1,2025-02-24,0158,T,20,6.1NRT,285.61,5.39,D
24.23505,113.27663,300.29,1.31,1.14,2025-02-24,0158,T,29,6.1NRT,287.93,6.21,D
24.10801,112.343,301.46,1.5,1.21,2025-02-24,0158,T,47,6.1NRT,285.76,9.16,D
45.37807,132.08517,322.94,2.22,1.44,2025-02-24,0151,T,58,6.1NRT,272.76,72.45,D
24.09732,112.34161,301.69,1.5,1.21,2025-02-24,0158,T,48,6.1NRT,285.65,8.94,D
45.37183,132.11208,315.66,2.23,1.45,2025-02-24,0151,T,42,6.1NRT,272.2,48.94,D
44.79528,132.01048,306.52,2.29,1.46,2025-02-24,0151,T,55,6.1NRT,274.18,33.88,D
24.10416,112.33589,300.99,1.5,1.21,2025-02-24,0158,T,43,6.1NRT,285.79,8.2,D
24.10247,112.35025,303.65,1.5,1.21,2025-02-24,0158,T,57,6.1NRT,285.65,11.02,D
44.78906,131.97792,306.37,2.28,1.46,2025-02-24,0151,T,63,6.1NRT,275.11,33.77,D
24.12352,111.67683,310.75,1.67,1.27,2025-02-24,0158,T,70,6.1NRT,284.59,24.41,D
44.78292,132.00473,325.81,2.29,1.46,2025-02-24,0151,T,79,6.1NRT,274.96,88.69,D
24.1218,111.69257,312,1.66,1.27,2025-02-24,0158,T,72,6.1NRT,285.96,25.87,D
44.56981,131.62602,303.39,2.21,1.44,2025-02-24,0151,T,40,6.1NRT,276.03,25.61,D
21.70987,110.69529,312.18,1.81,1.32,2025-02-24,0200,T,71,6.1NRT,290.75,21.17,D
44.40584,131.63155,322.33,2.23,1.45,2025-02-24,0151,T,82,6.1NRT,276.87,71.59,D
21.61618,110.50214,309.01,1.87,1.34,2025-02-24,0200,T,66,6.1NRT,289.96,17.12,D
44.40635,131.62627,318.69,2.23,1.45,2025-02-24,0151,T,79,6.1NRT,276.43,63.8,D
